Sales Person,Country,Product,Date,Amount,Boxes Shipped
Kelci Walkden,Canada,Baker's Choco Chips,26/05/2022,"$3,073.00",302
Karlen McCaffrey,India,Almond Choco,06/07/2022,"$6,090.00",149
Oby Sorrel,India,99% Dark & Pure,27/05/2022,"$10,255.00",11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14/04/2022,"$2,030.00",11
Van Tuxwell,Australia,Organic Choco Syrup,10/08/2022,"$19,453.00",14
Camilla Castle,India,50% Dark Bites,04/07/2022,"$9,275.00",411
Oby Sorrel,India,Organic Choco Syrup,08/07/2022,"$6,181.00",56
Jan Morforth,USA,Peanut Butter Cubes,22/07/2022,"$9,037.00",102
Gigi Bohling,USA,Choco Coated Almonds,02/03/2022,"$12,313.00",103
Gigi Bohling,UK,Almond Choco,10/01/2022,"$5,642.00",9
Jehu Rudeforth,New Zealand,White Choc,11/03/2022,"$2,800.00",241
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/06/2022,$959.00,265
Van Tuxwell,UK,Organic Choco Syrup,26/08/2022,"$2,002.00",214
Roddy Speechley,Canada,Milk Bars,13/07/2022,$609.00,32
Camilla Castle,USA,Spicy Special Slims,11/02/2022,"$1,274.00",244
Marney O'Breen,USA,Orange Choco,27/01/2022,"$7,595.00",181
Van Tuxwell,UK,99% Dark & Pure,31/01/2022,"$4,725.00",137
Camilla Castle,USA,White Choc,18/08/2022,"$9,681.00",24
Andria Kimpton,USA,Raspberry Choco,30/06/2022,"$14,504.00",21
Dotty Strutley,Australia,Fruit & Nut Bars,23/08/2022,$280.00,311
Brien Boise,New Zealand,Mint Chip Choco,01/08/2022,$63.00,181
Roddy Speechley,New Zealand,After Nines,25/05/2022,"$8,001.00",10
Roddy Speechley,Canada,Organic Choco Syrup,10/01/2022,"$4,032.00",82
Dennison Crosswaite,Australia,70% Dark Bites,07/02/2022,"$5,859.00",108
Karlen McCaffrey,USA,Orange Choco,12/05/2022,"$11,095.00",401
Madelene Upcott,Australia,Spicy Special Slims,07/03/2022,"$7,182.00",408
Dennison Crosswaite,Australia,85% Dark Bars,05/04/2022,"$6,881.00",420
Andria Kimpton,Canada,Caramel Stuffed Bars,03/01/2022,"$7,154.00",348
Dennison Crosswaite,UK,Eclairs,24/03/2022,"$6,188.00",270
Madelene Upcott,India,Raspberry Choco,07/07/2022,"$4,221.00",9
Van Tuxwell,USA,After Nines,26/07/2022,$630.00,264
Wilone O'Kielt,Australia,Organic Choco Syrup,07/07/2022,"$1,743.00",111
Karlen McCaffrey,Canada,50% Dark Bites,15/07/2022,"$2,919.00",65
Roddy Speechley,New Zealand,Orange Choco,01/04/2022,$49.00,97
Beverie Moffet,Australia,Eclairs,20/06/2022,"$1,827.00",6
Kelci Walkden,UK,Fruit & Nut Bars,29/06/2022,"$13,006.00",482
Marney O'Breen,USA,50% Dark Bites,15/06/2022,"$1,064.00",106
Husein Augar,USA,After Nines,08/04/2022,"$11,571.00",180
Dennison Crosswaite,Australia,Raspberry Choco,14/03/2022,"$5,740.00",31
Andria Kimpton,USA,Fruit & Nut Bars,15/07/2022,"$1,456.00",359
Kelci Walkden,India,Eclairs,19/04/2022,"$5,334.00",80
Marney O'Breen,USA,99% Dark & Pure,28/03/2022,"$4,151.00",296
Brien Boise,Canada,Spicy Special Slims,04/03/2022,"$8,106.00",101
Karlen McCaffrey,New Zealand,70% Dark Bites,02/08/2022,$126.00,40
Husein Augar,UK,Spicy Special Slims,25/08/2022,"$4,697.00",42
Marney O'Breen,USA,Almond Choco,25/02/2022,"$7,798.00",167
Kelci Walkden,India,Orange Choco,07/06/2022,"$9,408.00",138
Jan Morforth,India,Spicy Special Slims,12/04/2022,"$1,939.00",520
Ches Bonnell,India,Spicy Special Slims,06/07/2022,"$10,906.00",94
Kelci Walkden,UK,Smooth Sliky Salty,19/01/2022,"$5,929.00",175
Madelene Upcott,Australia,Fruit & Nut Bars,05/01/2022,"$5,579.00",92
Madelene Upcott,Canada,70% Dark Bites,24/01/2022,"$10,927.00",141
Wilone O'Kielt,Australia,Drinking Coco,06/04/2022,$623.00,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,15/06/2022,"$6,013.00",21
Gigi Bohling,Canada,Baker's Choco Chips,28/01/2022,"$1,505.00",47
Kelci Walkden,India,Caramel Stuffed Bars,16/03/2022,$476.00,125
Rafaelita Blaksland,Australia,Drinking Coco,21/02/2022,"$11,550.00",396
Kelci Walkden,USA,Manuka Honey Choco,16/02/2022,"$17,318.00",87
Jehu Rudeforth,Canada,Spicy Special Slims,13/01/2022,"$1,848.00",27
Kelci Walkden,Australia,Eclairs,23/03/2022,"$7,273.00",547
Curtice Advani,Canada,Spicy Special Slims,16/06/2022,$854.00,118
Oby Sorrel,India,Raspberry Choco,14/04/2022,"$6,832.00",46
Kelci Walkden,UK,Eclairs,25/01/2022,"$4,606.00",57
Jan Morforth,India,Almond Choco,11/03/2022,"$4,466.00",22
Dotty Strutley,UK,Almond Choco,28/07/2022,"$16,114.00",96
Marney O'Breen,New Zealand,After Nines,09/03/2022,"$1,561.00",44
Husein Augar,Australia,Orange Choco,28/06/2022,"$8,897.00",188
Marney O'Breen,Australia,Milk Bars,28/07/2022,"$2,464.00",387
Kelci Walkden,Canada,99% Dark & Pure,15/08/2022,"$4,830.00",50
Kaine Padly,Australia,Manuka Honey Choco,12/01/2022,"$2,765.00",264
Beverie Moffet,New Zealand,White Choc,24/03/2022,"$7,126.00",7
Van Tuxwell,UK,Milk Bars,25/07/2022,"$4,263.00",90
Oby Sorrel,Canada,99% Dark & Pure,01/08/2022,"$3,605.00",403
Van Tuxwell,India,Organic Choco Syrup,16/05/2022,"$19,929.00",174
Roddy Speechley,India,Smooth Sliky Salty,10/08/2022,"$5,103.00",140
Jan Morforth,India,Eclairs,05/01/2022,"$2,541.00",27
Ches Bonnell,UK,Smooth Sliky Salty,11/07/2022,"$5,663.00",110
Wilone O'Kielt,USA,After Nines,25/04/2022,$392.00,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,04/04/2022,"$10,976.00",121
Barr Faughny,USA,Raspberry Choco,12/04/2022,"$9,282.00",101
Wilone O'Kielt,New Zealand,85% Dark Bars,02/08/2022,"$1,827.00",117
Gigi Bohling,New Zealand,Manuka Honey Choco,28/06/2022,"$8,267.00",272
Ches Bonnell,Australia,Eclairs,05/07/2022,"$4,116.00",128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,07/06/2022,"$2,093.00",45
Brien Boise,New Zealand,Smooth Sliky Salty,18/01/2022,"$1,015.00",27
Brien Boise,Australia,Baker's Choco Chips,04/01/2022,"$12,516.00",212
Dennison Crosswaite,Australia,99% Dark & Pure,31/01/2022,"$2,758.00",18
Kelci Walkden,India,Almond Choco,14/03/2022,"$3,297.00",149
Camilla Castle,Australia,70% Dark Bites,29/04/2022,"$6,048.00",477
Oby Sorrel,India,Smooth Sliky Salty,07/02/2022,"$10,101.00",108
Kaine Padly,UK,Organic Choco Syrup,31/03/2022,"$2,282.00",178
Marney O'Breen,India,Caramel Stuffed Bars,16/03/2022,"$4,361.00",81
Karlen McCaffrey,UK,Eclairs,25/01/2022,"$7,798.00",196
Van Tuxwell,India,Baker's Choco Chips,20/06/2022,"$3,052.00",447
Gigi Bohling,UK,After Nines,29/03/2022,"$8,029.00",175
Curtice Advani,Australia,Orange Choco,12/07/2022,$854.00,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,11/07/2022,"$5,460.00",138
Karlen McCaffrey,Canada,Smooth Sliky Salty,19/01/2022,"$3,017.00",184
Andria Kimpton,USA,85% Dark Bars,05/04/2022,"$8,911.00",82
Jehu Rudeforth,Canada,Milk Bars,21/02/2022,"$7,203.00",12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20/05/2022,"$13,083.00",14
Mallorie Waber,Australia,Milk Bars,29/07/2022,"$2,779.00",104
Barr Faughny,USA,Fruit & Nut Bars,28/01/2022,"$9,058.00",46
Marney O'Breen,UK,Caramel Stuffed Bars,19/07/2022,"$3,549.00",112
Mallorie Waber,New Zealand,Manuka Honey Choco,13/04/2022,"$9,436.00",11
Roddy Speechley,India,Peanut Butter Cubes,11/02/2022,"$10,283.00",21
Roddy Speechley,New Zealand,Milk Bars,02/03/2022,"$5,446.00",116
Ches Bonnell,Australia,White Choc,02/03/2022,"$1,043.00",202
Van Tuxwell,USA,99% Dark & Pure,28/07/2022,"$12,586.00",6
Kelci Walkden,India,After Nines,07/01/2022,"$1,687.00",520
Brien Boise,UK,White Choc,12/04/2022,"$5,299.00",167
Van Tuxwell,Canada,Almond Choco,27/06/2022,"$3,213.00",72
Jehu Rudeforth,Australia,50% Dark Bites,14/01/2022,"$5,194.00",418
Karlen McCaffrey,UK,Baker's Choco Chips,07/02/2022,"$4,753.00",389
Jehu Rudeforth,Australia,Orange Choco,23/03/2022,"$13,706.00",26
Marney O'Breen,India,Peanut Butter Cubes,10/01/2022,"$6,489.00",146
Oby Sorrel,UK,Choco Coated Almonds,17/03/2022,"$9,324.00",41
Gigi Bohling,USA,Spicy Special Slims,21/01/2022,"$10,829.00",54
Barr Faughny,Australia,White Choc,04/07/2022,"$8,113.00",370
Kaine Padly,Canada,Peanut Butter Cubes,04/07/2022,"$3,269.00",176
Dotty Strutley,USA,Manuka Honey Choco,10/08/2022,$273.00,210
Dennison Crosswaite,Australia,50% Dark Bites,01/04/2022,"$7,287.00",12
Gigi Bohling,India,Raspberry Choco,22/02/2022,"$2,583.00",159
Camilla Castle,UK,White Choc,03/01/2022,"$9,982.00",187
Karlen McCaffrey,India,Drinking Coco,31/05/2022,"$4,795.00",233
Dotty Strutley,UK,99% Dark & Pure,03/01/2022,"$9,310.00",282
Husein Augar,New Zealand,Caramel Stuffed Bars,27/01/2022,$497.00,475
Barr Faughny,UK,50% Dark Bites,28/01/2022,$581.00,65
Curtice Advani,Australia,Organic Choco Syrup,28/06/2022,"$3,472.00",311
Husein Augar,UK,Choco Coated Almonds,02/03/2022,"$4,333.00",43
Wilone O'Kielt,Australia,After Nines,27/05/2022,"$3,325.00",26
Dennison Crosswaite,USA,Almond Choco,30/06/2022,"$11,718.00",84
Barr Faughny,Canada,Peanut Butter Cubes,07/06/2022,"$2,100.00",78
Kaine Padly,USA,70% Dark Bites,12/05/2022,"$4,018.00",100
Barr Faughny,New Zealand,Raspberry Choco,29/07/2022,"$6,468.00",66
Dennison Crosswaite,UK,White Choc,03/08/2022,"$7,238.00",265
Barr Faughny,India,Baker's Choco Chips,18/08/2022,"$6,454.00",141
Van Tuxwell,New Zealand,Smooth Sliky Salty,14/06/2022,"$3,115.00",42
Beverie Moffet,UK,White Choc,30/06/2022,"$6,475.00",76
Camilla Castle,New Zealand,Mint Chip Choco,13/06/2022,"$1,162.00",190
Ches Bonnell,UK,Orange Choco,27/04/2022,"$14,238.00",54
Jan Morforth,Australia,White Choc,27/07/2022,"$3,472.00",32
Mallorie Waber,Canada,85% Dark Bars,20/04/2022,"$1,428.00",424
Rafaelita Blaksland,India,Spicy Special Slims,04/01/2022,"$8,064.00",134
Ches Bonnell,Australia,Mint Chip Choco,21/02/2022,"$9,660.00",92
Karlen McCaffrey,Australia,White Choc,05/01/2022,"$7,357.00",48
Beverie Moffet,India,Drinking Coco,15/07/2022,"$6,055.00",46
Brien Boise,Australia,Choco Coated Almonds,25/05/2022,"$5,124.00",62
Karlen McCaffrey,Canada,Eclairs,20/04/2022,"$3,479.00",358
Gigi Bohling,USA,99% Dark & Pure,02/06/2022,$784.00,249
Marney O'Breen,UK,Smooth Sliky Salty,13/05/2022,"$18,991.00",88
Beverie Moffet,New Zealand,Baker's Choco Chips,03/08/2022,"$1,372.00",144
Beverie Moffet,Australia,Milk Bars,25/05/2022,$735.00,390
Van Tuxwell,UK,Raspberry Choco,16/03/2022,"$6,538.00",79
Jan Morforth,Australia,Orange Choco,04/07/2022,"$3,199.00",122
Jehu Rudeforth,India,50% Dark Bites,05/07/2022,"$3,472.00",135
Madelene Upcott,USA,After Nines,15/03/2022,"$4,571.00",430
Barr Faughny,UK,Raspberry Choco,22/08/2022,"$5,481.00",69
Ches Bonnell,Australia,70% Dark Bites,12/01/2022,"$3,136.00",125
Marney O'Breen,UK,Baker's Choco Chips,10/06/2022,$252.00,154
Kaine Padly,Australia,Peanut Butter Cubes,25/03/2022,"$5,460.00",286
Rafaelita Blaksland,India,Almond Choco,27/07/2022,"$3,395.00",99
Husein Augar,UK,Caramel Stuffed Bars,15/04/2022,"$14,938.00",433
Roddy Speechley,India,Orange Choco,27/06/2022,"$4,053.00",19
Jehu Rudeforth,UK,70% Dark Bites,14/04/2022,"$5,565.00",258
Husein Augar,Australia,Manuka Honey Choco,15/03/2022,"$7,161.00",92
Madelene Upcott,USA,Eclairs,18/03/2022,"$8,883.00",200
Brien Boise,India,Eclairs,29/04/2022,"$1,351.00",61
Mallorie Waber,New Zealand,White Choc,25/02/2022,"$3,171.00",246
Husein Augar,USA,Milk Bars,02/03/2022,$854.00,56
Van Tuxwell,Australia,Milk Bars,20/06/2022,"$7,910.00",87
Beverie Moffet,Canada,White Choc,15/07/2022,"$9,275.00",173
Dotty Strutley,Australia,50% Dark Bites,12/05/2022,"$3,108.00",252
Mallorie Waber,New Zealand,Organic Choco Syrup,01/07/2022,"$5,075.00",256
Husein Augar,USA,85% Dark Bars,08/08/2022,$378.00,54
Madelene Upcott,Australia,50% Dark Bites,25/07/2022,"$7,350.00",6
Wilone O'Kielt,UK,Drinking Coco,18/05/2022,"$3,388.00",55
Camilla Castle,India,Peanut Butter Cubes,15/07/2022,"$11,837.00",277
Curtice Advani,India,70% Dark Bites,05/07/2022,"$2,282.00",44
Mallorie Waber,USA,Manuka Honey Choco,04/07/2022,"$5,425.00",96
Dotty Strutley,UK,70% Dark Bites,20/06/2022,"$1,267.00",216
Gunar Cockshoot,Australia,Almond Choco,25/01/2022,"$3,752.00",424
Kaine Padly,New Zealand,Spicy Special Slims,01/07/2022,"$7,728.00",37
Gigi Bohling,USA,50% Dark Bites,13/04/2022,"$2,296.00",59
Beverie Moffet,UK,Smooth Sliky Salty,04/05/2022,"$4,403.00",76
Beverie Moffet,Australia,Baker's Choco Chips,04/08/2022,"$3,192.00",109
Beverie Moffet,India,70% Dark Bites,01/06/2022,$448.00,146
Jehu Rudeforth,UK,Choco Coated Almonds,22/04/2022,"$4,270.00",185
Kaine Padly,USA,50% Dark Bites,03/08/2022,$70.00,27
Ches Bonnell,USA,Orange Choco,10/06/2022,"$1,743.00",69
Gunar Cockshoot,UK,Manuka Honey Choco,27/06/2022,"$6,762.00",46
Marney O'Breen,Australia,Smooth Sliky Salty,03/01/2022,"$3,745.00",170
Marney O'Breen,India,After Nines,11/07/2022,"$2,639.00",179
Ches Bonnell,New Zealand,Milk Bars,17/08/2022,"$4,389.00",126
Rafaelita Blaksland,USA,Fruit & Nut Bars,18/01/2022,"$2,604.00",65
Ches Bonnell,India,Organic Choco Syrup,08/03/2022,"$16,569.00",99
Mallorie Waber,Australia,Orange Choco,07/03/2022,"$14,658.00",275
Husein Augar,India,70% Dark Bites,09/05/2022,"$6,454.00",157
Barr Faughny,New Zealand,85% Dark Bars,23/05/2022,"$2,100.00",157
Madelene Upcott,UK,Caramel Stuffed Bars,15/04/2022,$161.00,145
Gigi Bohling,Australia,Drinking Coco,27/07/2022,"$2,807.00",139
Marney O'Breen,Canada,Choco Coated Almonds,22/08/2022,"$2,639.00",406
Ches Bonnell,USA,70% Dark Bites,11/05/2022,"$4,571.00",122
Madelene Upcott,India,Organic Choco Syrup,26/01/2022,"$4,781.00",38
Barr Faughny,USA,50% Dark Bites,14/04/2022,"$13,034.00",117
Dennison Crosswaite,New Zealand,Mint Chip Choco,05/04/2022,"$6,454.00",417
Marney O'Breen,New Zealand,Smooth Sliky Salty,14/06/2022,"$8,484.00",57
Brien Boise,Canada,Almond Choco,13/04/2022,"$4,781.00",125
Beverie Moffet,Australia,White Choc,27/06/2022,"$2,240.00",166
Dotty Strutley,Australia,Eclairs,26/01/2022,"$6,979.00",3
Barr Faughny,UK,White Choc,05/07/2022,"$1,652.00",72
Beverie Moffet,Canada,Baker's Choco Chips,11/01/2022,"$13,447.00",95
Kelci Walkden,USA,White Choc,07/03/2022,"$9,422.00",22
Kaine Padly,Canada,50% Dark Bites,04/03/2022,"$8,687.00",100
Karlen McCaffrey,Canada,Organic Choco Syrup,15/07/2022,"$2,415.00",312
Kaine Padly,UK,Peanut Butter Cubes,11/05/2022,"$6,272.00",86
Karlen McCaffrey,USA,Milk Bars,27/01/2022,"$4,389.00",7
Karlen McCaffrey,India,Orange Choco,27/06/2022,"$3,122.00",149
Ches Bonnell,India,Smooth Sliky Salty,03/08/2022,"$8,043.00",18
Wilone O'Kielt,New Zealand,Mint Chip Choco,19/08/2022,"$11,662.00",242
Wilone O'Kielt,Australia,Fruit & Nut Bars,15/06/2022,$392.00,102
Dennison Crosswaite,UK,Peanut Butter Cubes,07/02/2022,"$8,925.00",158
Karlen McCaffrey,Australia,Almond Choco,08/07/2022,"$7,294.00",128
Dennison Crosswaite,India,Milk Bars,21/04/2022,"$1,526.00",96
Ches Bonnell,UK,Mint Chip Choco,08/04/2022,"$2,688.00",209
Husein Augar,Australia,50% Dark Bites,19/08/2022,"$14,889.00",52
Jan Morforth,India,Fruit & Nut Bars,04/05/2022,"$2,912.00",55
Mallorie Waber,USA,85% Dark Bars,11/05/2022,"$2,632.00",108
Mallorie Waber,USA,Eclairs,22/03/2022,"$6,328.00",51
Dennison Crosswaite,Canada,Spicy Special Slims,10/08/2022,"$2,527.00",216
Dennison Crosswaite,USA,Fruit & Nut Bars,04/05/2022,"$1,414.00",318
Kelci Walkden,USA,99% Dark & Pure,18/08/2022,"$7,714.00",238
Dotty Strutley,Canada,Raspberry Choco,03/08/2022,"$4,347.00",238
Marney O'Breen,New Zealand,Milk Bars,14/01/2022,"$7,490.00",315
Madelene Upcott,Australia,Choco Coated Almonds,08/04/2022,"$2,058.00",72
Kelci Walkden,UK,Orange Choco,01/08/2022,"$3,640.00",3
Dennison Crosswaite,Canada,Eclairs,15/03/2022,$455.00,45
